Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
3.085	1	0	0	12	0	-70.3322
3.085	1	0	0	13	0	-67.1333
3.085	1	0	0	14	0	-71.606
3.085	1	0	0	15	0	-55.6931
3.09	1	0	0	1	0	-76.8842
3.09	1	0	0	2	0	-62.6137
3.09	1	0	0	3	0	-71.5877
3.09	1	0	0	4	0	-70.3369
3.09	1	0	0	5	0	-61.927
3.09	1	0	0	6	0	-73.0854
3.09	1	0	0	7	0	-84.5998
3.09	1	0	0	8	0	-60.9151
3.09	1	0	0	9	0	-61.7209
3.09	1	0	0	10	0	-69.953
3.09	1	0	0	11	0	-72.3059
3.09	1	0	0	12	0	-70.3322
3.09	1	0	0	13	0	-67.1333
3.09	1	0	0	14	0	-71.606
3.09	1	0	0	15	0	-55.6931
3.095	1	0	0	1	0	-76.8842
3.095	1	0	0	2	0	-62.6137
3.095	1	0	0	3	0	-71.5877
3.095	1	0	0	4	0	-70.3369
3.095	1	0	0	5	0	-61.927
3.095	1	0	0	6	0	-73.0854
3.095	1	0	0	7	0	-84.5998
3.095	1	0	0	8	0	-60.9151
3.095	1	0	0	9	0	-61.7209
3.095	1	0	0	10	0	-69.953
3.095	1	0	0	11	0	-72.3059
3.095	1	0	0	12	0	-70.3322
3.095	1	0	0	13	0	-67.1333
3.095	1	0	0	14	0	-71.606
3.095	1	0	0	15	0	-55.6931
3.1	1	0	0	1	0	-76.8842
3.1	1	0	0	2	0	-62.6137
3.1	1	0	0	3	0	-71.5877
3.1	1	0	0	4	0	-70.3369
3.1	1	0	0	5	0	-61.927
3.1	1	0	0	6	0	-73.0854
3.1	1	0	0	7	0	-84.5998
3.1	1	0	0	8	0	-60.9151
3.1	1	0	0	9	0	-61.7209
3.1	1	0	0	10	0	-69.953
3.1	1	0	0	11	0	-72.3059
3.1	1	0	0	12	0	-70.3322
3.1	1	0	0	13	0	-67.1333
3.1	1	0	0	14	0	-71.606
3.1	1	0	0	15	0	-55.6931
3.105	1	0	0	1	0	-76.8842
3.105	1	0	0	2	0	-62.6137
3.105	1	0	0	3	0	-71.5877
3.105	1	0	0	4	0	-70.3369
3.105	1	0	0	5	0	-61.927
3.105	1	0	0	6	0	-73.0854
3.105	1	0	0	7	0	-84.5998
3.105	1	0	0	8	0	-60.9151
3.105	1	0	0	9	0	-61.7209
3.105	1	0	0	10	0	-69.953
3.105	1	0	0	11	0	-72.3059
3.105	1	0	0	12	0	-70.3322
3.105	1	0	0	13	0	-67.1333
3.105	1	0	0	14	0	-71.606
3.105	1	0	0	15	0	-55.6931
3.11	1	0	0	1	0	-76.8842
3.11	1	0	0	2	0	-62.6137
3.11	1	0	0	3	0	-71.5877
3.11	1	0	0	4	0	-70.3369
3.11	1	0	0	5	0	-61.927
3.11	1	0	0	6	0	-73.0854
3.11	1	0	0	7	0	-84.5998
3.11	1	0	0	8	0	-60.9151
3.11	1	0	0	9	0	-61.7209
3.11	1	0	0	10	0	-69.953
3.11	1	0	0	11	0	-72.3059
3.11	1	0	0	12	0	-70.3322
3.11	1	0	0	13	0	-67.1333
3.11	1	0	0	14	0	-71.606
3.11	1	0	0	15	0	-55.6931
3.115	1	0	0	1	0	-76.8842
3.115	1	0	0	2	0	-62.6137
3.115	1	0	0	3	0	-71.5877
3.115	1	0	0	4	0	-70.3369
3.115	1	0	0	5	0	-61.927
3.115	1	0	0	6	0	-73.0854
3.115	1	0	0	7	0	-84.5998
3.115	1	0	0	8	0	-60.9151
3.115	1	0	0	9	0	-61.7209
3.115	1	0	0	10	0	-69.953
